,Date,Steps
0,2024-09-03,0
1,2024-09-04,0
2,2024-09-05,0
3,2024-09-06,0
4,2024-09-07,0
5,2024-09-08,0
6,2024-09-09,4083
7,2024-09-10,11444
8,2024-09-11,10130
9,2024-09-12,10977
10,2024-09-13,9356
11,2024-09-14,10193
12,2024-09-15,4308
13,2024-09-16,10917
14,2024-09-17,8960
15,2024-09-18,12444
16,2024-09-19,10615
17,2024-09-20,10245
18,2024-09-21,7336
19,2024-09-22,6225
20,2024-09-23,9850
21,2024-09-24,9585
22,2024-09-25,10100
23,2024-09-26,10566
24,2024-09-27,11197
25,2024-09-28,7567
26,2024-09-29,5317
27,2024-09-30,10339
28,2024-10-01,9629
29,2024-10-02,9253
