,time,HR
210,03:30:00,53.0
211,03:31:00,53.0
212,03:32:00,56.0
213,03:33:00,52.0
214,03:34:00,61.0
215,03:35:00,55.0
216,03:36:00,50.0
217,03:37:00,49.0
218,03:38:00,49.0
219,03:39:00,50.0
220,03:40:00,50.0
221,03:41:00,50.0
222,03:42:00,50.0
223,03:43:00,49.0
224,03:44:00,48.0
225,03:45:00,48.0
226,03:46:00,49.0
227,03:47:00,50.0
228,03:48:00,50.0
229,03:49:00,50.0
230,03:50:00,52.0
231,03:51:00,52.0
232,03:52:00,53.0
233,03:53:00,53.0
234,03:54:00,53.0
235,03:55:00,52.0
236,03:56:00,52.0
237,03:57:00,52.0
238,03:58:00,52.0
239,03:59:00,52.0
240,04:00:00,53.0
241,04:01:00,53.0
242,04:02:00,54.0
243,04:03:00,54.0
244,04:04:00,54.0
245,04:05:00,54.0
246,04:06:00,56.0
247,04:07:00,52.0
248,04:08:00,52.0
249,04:09:00,54.0
250,04:10:00,54.0
251,04:11:00,53.0
252,04:12:00,54.0
253,04:13:00,54.0
254,04:14:00,54.0
255,04:15:00,55.0
256,04:16:00,56.0
257,04:17:00,62.0
258,04:18:00,53.0
259,04:19:00,54.0
260,04:20:00,54.0
261,04:21:00,54.0
262,04:22:00,54.0
263,04:23:00,54.0
264,04:24:00,54.0
265,04:25:00,54.0
266,04:26:00,54.0
267,04:27:00,55.0
268,04:28:00,56.0
269,04:29:00,56.0
270,04:30:00,57.0
271,04:31:00,56.0
272,04:32:00,56.0
273,04:33:00,56.0
274,04:34:00,56.0
275,04:35:00,56.0
276,04:36:00,57.0
277,04:37:00,56.0
278,04:38:00,58.0
279,04:39:00,57.0
280,04:40:00,57.0
281,04:41:00,56.0
282,04:42:00,56.0
283,04:43:00,57.0
284,04:44:00,57.0
285,04:45:00,57.0
286,04:46:00,57.0
287,04:47:00,58.0
288,04:48:00,59.0
289,04:49:00,58.0
290,04:50:00,57.0
291,04:51:00,59.0
292,04:52:00,62.0
293,04:53:00,64.0
294,04:54:00,64.0
295,04:55:00,62.0
296,04:56:00,63.0
297,04:57:00,63.0
298,04:58:00,65.0
299,04:59:00,62.0
300,05:00:00,57.0
301,05:01:00,56.0
302,05:02:00,53.0
303,05:03:00,56.0
304,05:04:00,56.0
305,05:05:00,58.0
306,05:06:00,56.0
307,05:07:00,55.0
308,05:08:00,55.0
309,05:09:00,57.0
310,05:10:00,54.0
311,05:11:00,56.0
312,05:12:00,58.0
313,05:13:00,57.0
314,05:14:00,58.0
315,05:15:00,59.0
316,05:16:00,55.0
317,05:17:00,57.0
318,05:18:00,58.0
319,05:19:00,58.0
320,05:20:00,56.0
321,05:21:00,58.0
322,05:22:00,58.0
323,05:23:00,58.0
324,05:24:00,58.0
325,05:25:00,59.0
326,05:26:00,59.0
327,05:27:00,59.0
328,05:28:00,59.0
329,05:29:00,59.0
330,05:30:00,60.0
331,05:31:00,59.0
332,05:32:00,59.0
333,05:33:00,59.0
334,05:34:00,59.0
335,05:35:00,59.0
336,05:36:00,59.0
337,05:37:00,59.0
338,05:38:00,60.0
339,05:39:00,60.0
340,05:40:00,73.0
341,05:41:00,61.0
342,05:42:00,52.0
343,05:43:00,54.0
344,05:44:00,54.0
345,05:45:00,55.0
346,05:46:00,55.0
347,05:47:00,60.0
348,05:48:00,57.0
349,05:49:00,53.0
350,05:50:00,57.0
351,05:51:00,59.0
352,05:52:00,58.0
353,05:53:00,57.0
354,05:54:00,57.0
355,05:55:00,57.0
356,05:56:00,56.0
357,05:57:00,59.0
358,05:58:00,62.0
359,05:59:00,57.0
360,06:00:00,59.0
361,06:01:00,57.0
362,06:02:00,55.0
363,06:03:00,56.0
364,06:04:00,59.0
365,06:05:00,63.0
366,06:06:00,65.0
367,06:07:00,62.0
368,06:08:00,60.0
369,06:09:00,62.0
370,06:10:00,58.0
371,06:11:00,62.0
372,06:12:00,59.0
373,06:13:00,60.0
374,06:14:00,61.0
375,06:15:00,63.0
376,06:16:00,64.0
377,06:17:00,52.0
378,06:18:00,58.0
379,06:19:00,57.0
380,06:20:00,55.0
381,06:21:00,57.0
382,06:22:00,55.0
383,06:23:00,57.0
384,06:24:00,57.0
385,06:25:00,58.0
386,06:26:00,57.0
387,06:27:00,58.0
388,06:28:00,59.0
389,06:29:00,60.0
390,06:30:00,59.0
391,06:31:00,61.0
392,06:32:00,60.0
393,06:33:00,61.0
394,06:34:00,61.0
395,06:35:00,60.0
396,06:36:00,60.0
397,06:37:00,60.0
398,06:38:00,60.0
399,06:39:00,61.0
400,06:40:00,61.0
401,06:41:00,60.0
402,06:42:00,60.0
403,06:43:00,60.0
404,06:44:00,60.0
405,06:45:00,60.0
406,06:46:00,59.0
407,06:47:00,59.0
408,06:48:00,59.0
409,06:49:00,59.0
410,06:50:00,59.0
411,06:51:00,60.0
412,06:52:00,60.0
413,06:53:00,60.0
414,06:54:00,60.0
415,06:55:00,60.0
416,06:56:00,60.0
417,06:57:00,60.0
418,06:58:00,59.0
419,06:59:00,57.0
420,07:00:00,59.0
421,07:01:00,57.0
422,07:02:00,55.0
423,07:03:00,58.0
424,07:04:00,67.0
425,07:05:00,56.0
426,07:06:00,54.0
427,07:07:00,54.0
428,07:08:00,53.0
429,07:09:00,55.0
430,07:10:00,54.0
431,07:11:00,53.0
432,07:12:00,57.0
433,07:13:00,55.0
434,07:14:00,61.0
435,07:15:00,55.0
436,07:16:00,59.0
437,07:17:00,55.0
438,07:18:00,61.0
439,07:19:00,59.0
440,07:20:00,57.0
441,07:21:00,58.0
442,07:22:00,57.0
443,07:23:00,61.0
444,07:24:00,63.0
445,07:25:00,63.0
446,07:26:00,60.0
447,07:27:00,63.0
448,07:28:00,64.0
449,07:29:00,61.0
450,07:30:00,59.0
451,07:31:00,67.0
452,07:32:00,57.0
453,07:33:00,63.0
454,07:34:00,61.0
455,07:35:00,61.0
456,07:36:00,60.0
457,07:37:00,58.0
458,07:38:00,60.0
459,07:39:00,61.0
460,07:40:00,60.0
461,07:41:00,59.0
462,07:42:00,57.0
463,07:43:00,58.0
464,07:44:00,58.0
465,07:45:00,57.0
466,07:46:00,58.0
467,07:47:00,60.0
468,07:48:00,60.0
469,07:49:00,59.0
470,07:50:00,58.0
471,07:51:00,59.0
472,07:52:00,59.0
473,07:53:00,60.0
474,07:54:00,59.0
475,07:55:00,59.0
476,07:56:00,59.0
477,07:57:00,59.0
478,07:58:00,59.0
479,07:59:00,59.0
480,08:00:00,83.0
481,08:01:00,70.0
482,08:02:00,59.0
483,08:03:00,65.0
484,08:04:00,63.0
485,08:05:00,66.0
486,08:06:00,63.0
487,08:07:00,61.0
488,08:08:00,60.0
489,08:09:00,59.0
490,08:10:00,61.0
491,08:11:00,57.0
492,08:12:00,56.0
493,08:13:00,58.0
494,08:14:00,57.0
495,08:15:00,56.0
496,08:16:00,57.0
497,08:17:00,58.0
498,08:18:00,58.0
499,08:19:00,60.0
500,08:20:00,61.0
501,08:21:00,62.0
502,08:22:00,62.0
503,08:23:00,63.0
504,08:24:00,63.0
505,08:25:00,63.0
506,08:26:00,63.0
507,08:27:00,67.0
508,08:28:00,65.0
509,08:29:00,63.0
510,08:30:00,58.0
511,08:31:00,60.0
512,08:32:00,60.0
513,08:33:00,63.0
514,08:34:00,62.0
515,08:35:00,62.0
516,08:36:00,62.0
517,08:37:00,63.0
518,08:38:00,61.0
519,08:39:00,60.0
520,08:40:00,62.0
521,08:41:00,62.0
522,08:42:00,64.0
523,08:43:00,64.0
524,08:44:00,61.0
525,08:45:00,61.0
526,08:46:00,61.0
527,08:47:00,62.0
528,08:48:00,61.0
529,08:49:00,68.0
530,08:50:00,71.0
531,08:51:00,73.0
532,08:52:00,77.0
533,08:53:00,73.0
534,08:54:00,72.0
535,08:55:00,85.0
536,08:56:00,84.0
537,08:57:00,75.0
538,08:58:00,76.0
539,08:59:00,85.0
540,09:00:00,89.0
541,09:01:00,92.0
542,09:02:00,94.0
543,09:03:00,89.0
544,09:04:00,90.0
545,09:05:00,88.0
546,09:06:00,80.0
547,09:07:00,87.0
548,09:08:00,79.0
549,09:09:00,72.0
550,09:10:00,72.0
551,09:11:00,71.0
552,09:12:00,77.0
553,09:13:00,81.0
554,09:14:00,86.0
555,09:15:00,81.0
556,09:16:00,81.0
557,09:17:00,75.0
558,09:18:00,81.0
559,09:19:00,80.0
560,09:20:00,81.0
561,09:21:00,91.0
562,09:22:00,97.0
563,09:23:00,101.0
564,09:24:00,82.0
565,09:25:00,78.0
566,09:26:00,83.0
567,09:27:00,74.0
568,09:28:00,71.0
569,09:29:00,77.0
570,09:30:00,72.0
571,09:31:00,81.0
572,09:32:00,74.0
573,09:33:00,82.0
574,09:34:00,82.0
575,09:35:00,73.0
576,09:36:00,71.0
577,09:37:00,72.0
578,09:38:00,83.0
579,09:39:00,86.0
580,09:40:00,84.0
581,09:41:00,76.0
582,09:42:00,76.0
583,09:43:00,74.0
584,09:44:00,85.0
585,09:45:00,81.0
586,09:46:00,85.0
587,09:47:00,86.0
588,09:48:00,86.0
589,09:49:00,82.0
590,09:50:00,85.0
591,09:51:00,84.0
592,09:52:00,85.0
593,09:53:00,85.0
594,09:54:00,84.0
595,09:55:00,85.0
596,09:56:00,86.0
597,09:57:00,89.0
598,09:58:00,85.0
599,09:59:00,79.0
600,10:00:00,89.0
601,10:01:00,84.0
602,10:02:00,83.0
603,10:03:00,86.0
604,10:04:00,88.0
605,10:05:00,85.0
606,10:06:00,86.0
607,10:07:00,87.0
608,10:08:00,72.0
609,10:09:00,70.0
610,10:10:00,64.0
611,10:11:00,65.0
612,10:12:00,66.0
613,10:13:00,67.0
614,10:14:00,66.0
615,10:15:00,65.0
616,10:16:00,67.0
617,10:17:00,69.0
618,10:18:00,65.0
619,10:19:00,68.0
620,10:20:00,70.0
621,10:21:00,69.0
622,10:22:00,73.0
623,10:23:00,70.0
624,10:24:00,65.0
625,10:25:00,71.0
626,10:26:00,78.0
627,10:27:00,70.0
628,10:28:00,73.0
629,10:29:00,70.0
630,10:30:00,66.0
631,10:31:00,69.0
632,10:32:00,67.0
633,10:33:00,68.0
634,10:34:00,68.0
635,10:35:00,70.0
636,10:36:00,70.0
637,10:37:00,72.0
638,10:38:00,72.0
639,10:39:00,70.0
640,10:40:00,70.0
641,10:41:00,75.0
642,10:42:00,72.0
643,10:43:00,71.0
644,10:44:00,77.0
645,10:45:00,90.0
646,10:46:00,75.0
647,10:47:00,63.0
648,10:48:00,62.0
649,10:49:00,63.0
650,10:50:00,68.0
651,10:51:00,66.0
652,10:52:00,67.0
653,10:53:00,65.0
654,10:54:00,62.0
655,10:55:00,59.0
656,10:56:00,58.0
657,10:57:00,58.0
658,10:58:00,58.0
659,10:59:00,57.0
660,11:00:00,58.0
661,11:01:00,59.0
662,11:02:00,56.0
663,11:03:00,56.0
664,11:04:00,56.0
665,11:05:00,56.0
666,11:06:00,57.0
667,11:07:00,58.0
668,11:08:00,62.0
669,11:09:00,57.0
670,11:10:00,58.0
671,11:11:00,57.0
672,11:12:00,59.0
673,11:13:00,59.0
674,11:14:00,59.0
675,11:15:00,60.0
676,11:16:00,58.0
677,11:17:00,59.0
678,11:18:00,60.0
679,11:19:00,60.0
680,11:20:00,61.0
681,11:21:00,60.0
682,11:22:00,60.0
683,11:23:00,60.0
684,11:24:00,59.0
685,11:25:00,59.0
686,11:26:00,59.0
687,11:27:00,59.0
688,11:28:00,58.0
689,11:29:00,58.0
690,11:30:00,58.0
691,11:31:00,58.0
692,11:32:00,58.0
693,11:33:00,58.0
694,11:34:00,58.0
695,11:35:00,58.0
696,11:36:00,58.0
697,11:37:00,58.0
698,11:38:00,58.0
699,11:39:00,58.0
700,11:40:00,57.0
701,11:41:00,56.0
702,11:42:00,57.0
703,11:43:00,57.0
704,11:44:00,57.0
705,11:45:00,57.0
706,11:46:00,56.0
707,11:47:00,56.0
708,11:48:00,57.0
709,11:49:00,56.0
710,11:50:00,57.0
711,11:51:00,57.0
712,11:52:00,58.0
713,11:53:00,58.0
714,11:54:00,65.0
715,11:55:00,63.0
716,11:56:00,54.0
717,11:57:00,62.0
718,11:58:00,57.0
719,11:59:00,58.0
720,12:00:00,56.0
721,12:01:00,55.0
722,12:02:00,56.0
723,12:03:00,55.0
724,12:04:00,56.0
725,12:05:00,56.0
726,12:06:00,56.0
727,12:07:00,54.0
728,12:08:00,56.0
729,12:09:00,59.0
730,12:10:00,66.0
731,12:11:00,55.0
732,12:12:00,54.0
733,12:13:00,55.0
734,12:14:00,53.0
735,12:15:00,54.0
736,12:16:00,56.0
737,12:17:00,55.0
738,12:18:00,55.0
739,12:19:00,56.0
740,12:20:00,62.0
741,12:21:00,58.0
742,12:22:00,57.0
743,12:23:00,55.0
744,12:24:00,68.0
745,12:25:00,75.0
746,12:26:00,84.0
747,12:27:00,96.0
748,12:28:00,88.0
749,12:29:00,87.0
750,12:30:00,88.0
751,12:31:00,92.0
752,12:32:00,93.0
753,12:33:00,97.0
754,12:34:00,97.0
755,12:35:00,95.0
756,12:36:00,88.0
757,12:37:00,92.0
758,12:38:00,85.0
759,12:39:00,81.0
760,12:40:00,90.0
761,12:41:00,87.0
762,12:42:00,88.0
763,12:43:00,89.0
764,12:44:00,88.0
765,12:45:00,94.0
766,12:46:00,100.0
767,12:47:00,90.0
768,12:48:00,94.0
769,12:49:00,94.0
770,12:50:00,87.0
771,12:51:00,98.0
772,12:52:00,100.0
773,12:53:00,101.0
774,12:54:00,96.0
775,12:55:00,95.0
776,12:56:00,96.0
777,12:57:00,95.0
778,12:58:00,96.0
779,12:59:00,97.0
780,13:00:00,96.0
781,13:01:00,97.0
782,13:02:00,97.0
783,13:03:00,96.0
784,13:04:00,99.0
785,13:05:00,94.0
786,13:06:00,96.0
787,13:07:00,97.0
788,13:08:00,100.0
789,13:09:00,102.0
790,13:10:00,118.0
791,13:11:00,112.0
792,13:12:00,106.0
793,13:13:00,104.0
794,13:14:00,112.0
795,13:15:00,118.0
796,13:16:00,113.0
797,13:17:00,116.0
798,13:18:00,115.0
799,13:19:00,118.0
800,13:20:00,115.0
801,13:21:00,116.0
802,13:22:00,117.0
803,13:23:00,115.0
804,13:24:00,117.0
805,13:25:00,107.0
806,13:26:00,104.0
807,13:27:00,115.0
808,13:28:00,104.0
809,13:29:00,93.0
810,13:30:00,95.0
811,13:31:00,87.0
812,13:32:00,80.0
813,13:33:00,79.0
814,13:34:00,76.0
815,13:35:00,73.0
816,13:36:00,75.0
817,13:37:00,73.0
818,13:38:00,71.0
819,13:39:00,71.0
820,13:40:00,75.0
821,13:41:00,74.0
822,13:42:00,72.0
823,13:43:00,73.0
824,13:44:00,73.0
825,13:45:00,74.0
826,13:46:00,73.0
827,13:47:00,71.0
828,13:48:00,72.0
829,13:49:00,70.0
830,13:50:00,71.0
831,13:51:00,70.0
832,13:52:00,70.0
833,13:53:00,67.0
834,13:54:00,68.0
835,13:55:00,67.0
836,13:56:00,69.0
837,13:57:00,72.0
838,13:58:00,72.0
839,13:59:00,71.0
840,14:00:00,72.0
841,14:01:00,74.0
842,14:02:00,75.0
843,14:03:00,69.0
844,14:04:00,82.0
845,14:05:00,103.0
846,14:06:00,97.0
847,14:07:00,82.0
848,14:08:00,76.0
849,14:09:00,76.0
850,14:10:00,79.0
851,14:11:00,79.0
852,14:12:00,80.0
853,14:13:00,80.0
854,14:14:00,73.0
855,14:15:00,76.0
856,14:16:00,77.0
857,14:17:00,76.0
858,14:18:00,77.0
859,14:19:00,69.0
860,14:20:00,71.0
861,14:21:00,73.0
862,14:22:00,76.0
863,14:23:00,71.0
864,14:24:00,69.0
865,14:25:00,70.0
866,14:26:00,75.0
867,14:27:00,72.0
868,14:28:00,77.0
869,14:29:00,78.0
870,14:30:00,79.0
871,14:31:00,76.0
872,14:32:00,78.0
873,14:33:00,79.0
874,14:34:00,76.0
875,14:35:00,75.0
876,14:36:00,72.0
877,14:37:00,74.0
878,14:38:00,81.0
879,14:39:00,76.0
880,14:40:00,77.0
881,14:41:00,74.0
882,14:42:00,74.0
883,14:43:00,73.0
884,14:44:00,75.0
885,14:45:00,75.0
886,14:46:00,77.0
887,14:47:00,77.0
888,14:48:00,76.0
889,14:49:00,77.0
890,14:50:00,73.0
891,14:51:00,75.0
892,14:52:00,75.0
893,14:53:00,77.0
894,14:54:00,80.0
895,14:55:00,76.0
896,14:56:00,78.0
897,14:57:00,75.0
898,14:58:00,77.0
899,14:59:00,75.0
900,15:00:00,74.0
901,15:01:00,75.0
902,15:02:00,76.0
903,15:03:00,77.0
904,15:04:00,74.0
905,15:05:00,76.0
906,15:06:00,76.0
907,15:07:00,79.0
908,15:08:00,77.0
909,15:09:00,76.0
910,15:10:00,74.0
911,15:11:00,73.0
912,15:12:00,77.0
913,15:13:00,74.0
914,15:14:00,75.0
915,15:15:00,69.0
916,15:16:00,77.0
917,15:17:00,89.0
918,15:18:00,91.0
919,15:19:00,114.0
920,15:20:00,98.0
921,15:21:00,76.0
922,15:22:00,73.0
923,15:23:00,75.0
924,15:24:00,61.0
925,15:25:00,63.0
926,15:26:00,71.0
927,15:27:00,71.0
928,15:28:00,70.0
929,15:29:00,65.0
930,15:30:00,74.0
931,15:31:00,69.0
932,15:32:00,70.0
933,15:33:00,69.0
934,15:34:00,68.0
935,15:35:00,69.0
936,15:36:00,73.0
937,15:37:00,72.0
938,15:38:00,67.0
939,15:39:00,72.0
940,15:40:00,71.0
941,15:41:00,70.0
942,15:42:00,72.0
943,15:43:00,68.0
944,15:44:00,68.0
945,15:45:00,71.0
946,15:46:00,69.0
947,15:47:00,69.0
948,15:48:00,71.0
949,15:49:00,72.0
950,15:50:00,70.0
951,15:51:00,71.0
952,15:52:00,73.0
953,15:53:00,75.0
954,15:54:00,74.0
955,15:55:00,73.0
956,15:56:00,74.0
957,15:57:00,72.0
958,15:58:00,75.0
959,15:59:00,73.0
960,16:00:00,76.0
961,16:01:00,75.0
962,16:02:00,76.0
963,16:03:00,74.0
964,16:04:00,73.0
965,16:05:00,75.0
966,16:06:00,75.0
967,16:07:00,75.0
968,16:08:00,74.0
969,16:09:00,73.0
970,16:10:00,74.0
971,16:11:00,77.0
972,16:12:00,75.0
973,16:13:00,77.0
974,16:14:00,75.0
975,16:15:00,74.0
976,16:16:00,72.0
977,16:17:00,73.0
978,16:18:00,75.0
979,16:19:00,76.0
980,16:20:00,73.0
981,16:21:00,73.0
982,16:22:00,71.0
983,16:23:00,74.0
984,16:24:00,76.0
985,16:25:00,78.0
986,16:26:00,76.0
987,16:27:00,70.0
988,16:28:00,72.0
989,16:29:00,72.0
990,16:30:00,76.0
991,16:31:00,75.0
992,16:32:00,74.0
993,16:33:00,74.0
994,16:34:00,72.0
995,16:35:00,77.0
996,16:36:00,76.0
997,16:37:00,70.0
998,16:38:00,72.0
999,16:39:00,74.0
1000,16:40:00,72.0
1001,16:41:00,71.0
1002,16:42:00,78.0
1003,16:43:00,71.0
1004,16:44:00,69.0
1005,16:45:00,69.0
1006,16:46:00,69.0
1007,16:47:00,72.0
